worker_location,Skill,Price,SuccessRate
Canada,"Interior Design,Interior ArchitectureProduct Design,Autodesk AutoCAD,SketchUp",20,100
Belarus,"Voice Over,ItalianVoice Talent",40,88
United States,"Graphic Design,Adobe IllustratorAdobe InDesign,Social Media Marketing,Fundraising,Canva,Adobe Photoshop,WordPress,Brand Identity,Mailchimp",30,
Ukraine,"Customer Service,Data EntryEmail Support,Chat Support,Typing,Email Handling,Email Technical Support,Administrative Support,Customer Satisfaction,Customer Retention",5,
Italy,"Autodesk Revit,Autodesk AutoCADArchitectural Rendering,3D Modeling,Video Editing,3D Design,BIM,Architectural Design,Interior Design,3D Visualization",5,
United States,"Email Support,Technical SupportVirtual Assistant,Customer Service,Live Chat Operator,Zendesk,CRM,Salesforce,Chat Support,Email Handling",6,
Mexico,"Tableau,Microsoft Power BI Data VisualizationTax Preparation,SAP,Xero,Real Estate Financial Models,Financial Modeling,Business Plan,US Taxation",75,100
Ireland,"Facebook Advertising,Facebook MarketingGoogle Ads,Google AdWords Development,Pay Per Click Advertising,Landing Page,Email Marketing,Website Copywriting,Conversion Rate Optimization,A/B Testing",80,
Ukraine,"English Proofreading,PunctuationPoetry,Puzzle Creation,English Spelling,Academic Proofreading,Article Rewriting,English Grammar,Book Editing,Line Editing",30,96
Singapore,"Sound Editing,Sound MixingSound Design,Sound Effects,Ambient Sound design,Production Sound Mixing,Audio Post Production,Audio Editing,Mastering,Avid Pro Tools",20,100
Slovakia,"Wix,Website DevelopmentResponsive Web Design",50,
Italy,"Adobe Photoshop,Adobe IllustratorIllustration,2D Design,Character Design,Game Design,Adobe After Effects,2D Animation,Concept Artistry,Motion Graphics",35,100
Spain,"Video Editing,Video UploadVideo Production,Video Color Correction,Photo Editing,Adobe Photoshop,Sony Vegas,Adobe Premiere",6.5,100
Ukraine,"Graphic Design,Adobe PhotoshopAdobe InDesign,Adobe Illustrator,Adobe Creative Suite,Final Cut Pro,Apple iMovie",25,99
Venezuela,"Customer Support,Customer ServiceVoice Talent,Inbound Marketing,Virtual Assistant,Chat Support,Email Technical Support,Data Entry,Research,TeamViewer",35,100
United States,"Brochure Design,Graphic DesignFlyer Design,Magazine Layout,Poster Design,Print Advertising,Typography",33,100
Venezuela,"SolidWorks,DraftingMechanical Design,Microsoft Word,Microsoft Excel,CAD",32,100
Ukraine,"Adobe Creative Suite,Print Designnan",28,100
France,"HTML,Web DesignUser Interface Design,CSS,User Experience Design,Design Patterns,Material Design,Mobile UI Design,Logo Design,UI/UX Prototyping",30,90
Russia,"Autodesk 3ds Max,Chaos Group V-RayAutodesk AutoCAD,Adobe Photoshop,Adobe Illustrator",28,100
Russia,"Content Writing,WritingSEO Writing,Article Writing,Online Writing,Blog Writing,Book Writing,Website Copywriting,Sales Funnel Copywriting,Copywriting",33,100
Belarus,"Product Design,Architecture DesignArchitectural Rendering,CAD Drafting,Modeling,Architectural,Architectural Graphics,Prototype Model,Wood,Interior Architecture",45,
Philippines,"Photography,Adobe PhotoshopAdobe Photoshop Lightroom,Photojournalism,Photograph Color Correction,Commercial Photography,Events,Portrait Photography,Videography,Video Editing",8,
Ukraine,"Logo Design,Graphic DesignAdobe Photoshop,Adobe Photoshop Lightroom,Adobe Illustrator,Vector Graphics,Vector Graphics",10,
Indonesia,"Adobe Acrobat,Adobe IllustratorAdobe InDesign,Adobe Photoshop,Computer Graphics,Cover Design,Graphic Design,Illustration,Label and Package Design,Photo Editing",10,100
Serbia,"Android,Android App DevelopmentAndroid Studio,Mobile App Development,Android Studio,Android SDK,Android Things,Android Room Persistence,Kotlin",50,88
Myanmar,"C,C++GStreamer,Qt,Computer Vision,OpenCV,Software Architecture & Design,Video Streaming,FFmpeg,Python",70,86
India,"Adobe Premiere Pro,Adobe PhotoshopAdobe Photoshop Lightroom,Adobe After Effects,DaVinci Resolve",25,
Egypt,"WordPress,Concrete5 CMSResponsive Web Design,WordPress Plugin,PSD to Wordpress,WordPress e-Commerce,CSS3,Website Development,HTML,PSD to Mailchimp",31.25,100
Uruguay,"Tattoo Design,IllustrationDrawing,Realist Painting,Graphic Design,Sketching,Portrait Painting,Acrylic Painting,Sketch",18,90
Ukraine,"PSD to Wordpress,SketchWordPress,Adobe Photoshop,Wordpress Theme,PSD to HTML,HTML,CSS,PHP,JavaScript",60,100
Vietnam,"Deep Learning,Video ProductionVideo Color Correction,Video Design,Video Editing,Videography,Video Animation",40,100
Philippines,"Node.js,JavaScriptExt JS,jQuery,Sencha Touch,Bitcoin,PHP,JSP,Java,CSS",33.33,
Senegal,"SEO,Link BuildingOn-Page Optimization,Internet Marketing,Search Engine Marketing,Virtual Assistant,Google Analytics,SEO Audit,Yahoo! Search Marketing,Search Engine Marketing Strategy",15,95
Pakistan,"Adobe Photoshop,Adobe IllustratorBusiness Card Design,Flyer Design,Photo Editing,Retouching,Photograph Color Correction,Adobe Photoshop Lightroom",10,100
Brazil,"Translation,Translation French EnglishTranslation English French,Technical Translation,Subtitles,Transcription,Editing,French Proofreading,Medical Translation,Legal Translation",28,100
United States,"Data Modeling,Data AnalyticsData Visualization,Conversion Rate Optimization,Business Analysis,Project Management,Business Intelligence,Digital Marketing,Web Analytics,Data Science",35,
Spain,"Video Production,Video EditingPhoto Editing,Translation English Italian,Final Cut Pro X,DaVinci Resolve,Adobe Photoshop,Adobe Premiere,Videography,Adobe After Effects",70,
Philippines,"Voice Talent,Voice ActingVoice Recording,Voice Over,Voice Over English,Male Voice Over,Voice Over American Accent,Add Voice-over Recording",25,
Brazil,"Adobe Photoshop,Adobe IllustratorAdobe InDesign,Office 365,Research Methods,Research Reports,Research Documentation,Data Entry,Data Mining,Graphic Design",40,
Ukraine,"Website Development,DesignWeb Design,Mobile App Design,HTML,SEO-based Website,Website Redesign,Website,eCommerce Website,Mobile App Redesign",18,92
United Kingdom,"Voice Talent,Voice OverNarration,eLearning,Compliance,Copywriting,Audio Editing",100,98
India,"Virtual Assistant,Teaching EnglishHuman Resource Management,Organizational Development,Calendar Management,WordPress,Article Spinning,Accounting,Google Docs,Customer Service",6,89
Argentina,"3D Modeling,3D RenderingAdobe Illustrator,Blender,KeyShot,2D Design,Industrial Design",5,
Belarus,"Adobe Creative Suite,2D DesignAdobe Illustrator,Adobe Photoshop,Watercolor Painting,Sketching,Logo Design,Illustration,Vector Graphics,Business Card Design",20,98
Ukraine,"Translation English Arabic,Audiovisual TranslationMicroservices,Translation Arabic English,AP Style Writing,Content Writing,Blog Writing",15,97
Ukraine,"Social Media Management,Social Media AdvertisingFacebook Marketing,Leads,Social Media Marketing,Adobe Photoshop,Instagram,Facebook Advertising,Adobe Illustrator,Lead Generation",24.7,98
Spain,"Shopify,Market ResearchData Entry,Excel,Administrative Support,Product Listing,Customer Service,Invoicing,Virtual Assistant",7.5,92
Ukraine,"Adobe InDesign,Print DesignLayout Design,Typesetting,ePub,eBook Design,Book Cover Design,Adobe Photoshop",75,97
Ukraine,"Adobe Illustrator,Adobe PhotoshopAutodesk 3ds Max,Adobe Premiere",14,
Lithuania,"Developmental Editing,CopyeditingProofreading,Publishing Fundamentals,Project Management,Creative Writing,Consulting,Ghostwriting,Book Cover Design,eBook Design",70,99
Argentina,"Audio Editing,Sound EditingLine Editing,Voice Talent,Voice Acting,Voice Over,Voice Over American Accent,Voice-over Recording,Voice Recording,Voice Over English",125,92
Egypt,"Education Technology,Curriculum DevelopmentProject Management,Relationship Management,Lesson Plan Writing,eLearning,K-12 Online,Microsoft PowerPoint,Prezi,Microsoft PowerPoint",150,98
Thailand,"Architectural Rendering,Interior DesignSustainable Energy,Architectural Graphics,3D Animation,Architecture,3D Visualization,3D Modeling,Grasshopper 3D,Concept Design",30,100
El Salvador,"Adobe Photoshop,WordPressHTML,InfusionSoft Marketing,Adobe InDesign,CSS,PHP,Lead Generation,Inbound Marketing,Facebook Marketing",750,98
United Arab Emirates,"Translation,Spanish - Castilian (Spain)English,Translation English Spanish,Translation Spanish English,Transcription,Presentation,Website Translation,Localization,Website Localization",13,100
Pakistan,"Microsoft PowerPoint,KeynotePresentation,Presentation Design,Microsoft Excel",85,100
Bangladesh,WMVnan,22,
Russia,"Photography,Digital PhotographyRetouching,Photo Editing,Photo Manipulation,Photograph Color Correction,Adobe Photoshop Lightroom,Lifestyle Photography,Adobe Lightroom CC,Color Correction/Filters",20,100
Ukraine,"iOS Development,iPhone App DevelopmentApple Xcode,Objective-C,C++,C,Object Oriented Design",35,100
United States,"Autodesk AutoCAD,Autodesk InventorAdobe Photoshop,Microsoft Office",25,76
Ukraine,"Figma,SketchWireframes,UI/UX Prototyping,Web Design,Mobile App Design,Mockup,Visual Communication,Prototype,User Flows",12,91
Argentina,"Contract Law,Contract DraftingNatural Language Processing,Legal,Legal Research,Data Mining,Intellectual Property Law,Corporate Law,Legal Consulting,Contract Negotiations",100,98
Cameroon,"Packaging Design,Adobe PhotoshopAdobe Illustrator,Label and Package Design,Graphic Design,Print Design",35,96
United States,"Adobe Photoshop,Adobe IllustratorBranding,Book Cover Design,Presentation,Corporate Brand Identity,Banner Ads,Poster,Menu Design,Logo Design",50,97
Australia,"Data Entry,Internet ResearchLead Generation,Database Management,Zoho CRM,Shopify,WordPress,CRM,Microsoft Excel,PDF Conversion",8,99
United States,"Creative & Talent,Experience DesignAdobe Photoshop,Adobe Premiere Pro,Graphic Design,Video Production",25,94
United States,"Bookkeeping,Financial AnalysisGSAP,Accounts Receivable Management,Microsoft Excel,Financial Prospectus Writing,Customer Service,Microsoft Office,Accounts Receivable Accounting",20,
Argentina,"Voice Over,Voice ActingAudio Recording,Voice Talent,Voice Over American Accent,Voice Recording,Male Voice Over,Voice Over English",155,100
Ecuador,"Microsoft Excel,Virtual AssistantCreative Writing,Accounting,Spanish - Latin America,Translation Spanish English,Microsoft Office,Business Mathematics,Cover Letter Writing,Data Entry",4,
United States,"C#,PythonJava,JavaScript,Scripts & Utilities,Scripting,SQL,Forex Trading,Algorithms,Algorithm Development",100,100
Venezuela,"Video Production,PhotographyAd Copy,Ad Posting,Social Media Marketing,Social Media Posts,Social Media Content,Videography,Video Strategy,Video Advertising",35,
United States,"Trademark Consulting,Legal ResearchLegal,Intellectual Property Law,Legal Assistance",125,
United States,"Translation English Vietnamese,Data EntryMarket Research,Content Writing,Virtual Assistant,Customer Service",15,100
Ukraine,"User Experience Design,User Interface DesignWeb Design,Mobile UI Design,InVision,iPad UI Design,Interaction Design,Design Research,Responsive Design",37,97
Philippines,"Instagram,Instagram StoriesInstagram Marketing,Facebook Ad Campaign,Social Media Management,Content Management,Community Management,Product Photography,Adobe Illustrator,Social Media Marketing",25,
Italy,"Article Writing,StorytellingResearch,Investigative Reporting,Interviewing,Writing,Content Writing,Copyediting,SEO Writing,Podcasting",49,99
Ukraine,"LinkedIn Recruiting,HR ConsultingBusiness Coaching,Resume Writing,Resume Design,Resume Development,LinkedIn Development,Interview Preparation,Cover Letter Writing,Copywriting",75,96
United States,"WordPress Website,WordPress e-CommerceLogo Design,Banner Ad Design,Business Card,Vector Graphics,Cards & Flyers,Wordpress Theme,WordPress Plugin,PSD to Wordpress",15,90
Philippines,"Adobe After Effects,BlenderDaVinci Resolve,3D Animation,2D Animation,3D Rendering,Videography,Video Editing,3D Design",25,96
Venezuela,"Agile Project Management,Business AnalysisOperations Management,Web Design,SEO,SEO Audit,Project Management,Product Management,Google Analytics,Communications",85,94
Philippines,"Digital Marketing,Translation English FrenchAmazon Seller Central,eBay,SEO,eCommerce,eCommerce Website,Shopify,Chatbot Development",30,
Pakistan,"Proofreading,TranslationSlang-style Writing,Translation English Slovak,Translation English Czech,Translation English German,Translation English Polish,Translation English Russian,Translation English Ukrainian,Translation Czech Polish",5,65
Canada,"Customer Support,Administrative SupportEmail Handling,Appointment Setting,Chat Support,Data Entry,Order Entry,Order Processing,Order Tracking",10,92
Spain,"Shopify,Shopify ThemeSEO,Email Marketing,Shopify SEO,Shopify Apps,eCommerce Website,eCommerce,Drop Shipping,Business Coaching",40,93
Argentina,"Graphic Design,Adobe PhotoshopAdobe Illustrator,Logo Design,Web Design,Banner Ad Design,Flyer Design,Image Editing,Logo",50,98
Pakistan,"SolidWorks,Autodesk InventorMachine Design,Geometric Dimensioning & Tolerancing,Autodesk AutoCAD,Mechanical Design,Mechanical Engineering,Engineering Design,Engineering Drawing,3D Printing",55,100
Ukraine,"SEO,HubSpotCopywriting,Brand Consulting,Social Media Marketing,Translation Chinese English,Editing & Proofreading,Advertising,Writing,Design Thinking",40,52
Ukraine,"Microsoft PowerPoint,Presentation DesignGraphic Design,Video Editing",30,100
Canada,"Translation English Russian,Translation English UkrainianRussian,Translation French Russian,Ukrainian,Translation Russian English,Russian Proofreading,Creative Writing,Cryptocurrency,2D Animation",35,100
Philippines,"Amazon Vendor Central Specialist,Amazon PPCPay Per Click Advertising,Amazon MWS,Campaign Management,Campaign Optimization,Amazon Seller Central,Advertising Strategy,Amazon FBA,Advertising",75,98
Pakistan,"HTML5,PSD to HTMLPSD to Wordpress,CSS3,jQuery,Bootstrap,C#,WordPress Website,Avada Theme Customization,WordPress e-Commerce",3,58
United States,"Accounting,Financial AccountingFinancial Reporting,Research,Cost Accounting,Management Accounting,Microsoft Excel,Microsoft Word,Intuit QuickBooks,Financial Statements Preparation",15,97
Brazil,"Portrait Painting,Realist PaintingWatercolor Painting,Oil Painting,Digital Painting,Children's Book Illustrator,Portrait,human body,Tutorial,Vector Art",15,100
Ukraine,"Translation English German,Translation German EnglishMicrosoft Office,Adobe PDF,Translation Dutch English,Translation Dutch German,French English,Shopify,WordPress e-Commerce",25,96
Spain,"Writing,Translation English SpanishTranslation Spanish English,Legal Assistance,Civil Law,Legal Consulting,Legal Research",7,
Bulgaria,"PRECISION,English PunctuationTranslation Italian English,Translation English Italian,Translation Spanish English,Translation English Spanish,Translation Portuguese English",10,93
United States,"Translation English Arabic,Translation German ArabicTranslation German English,Arabic (Fosha-formal),Voice Over Arabic,Voice Over Arabic Accent,Egyptian Arabic - Egypt,Typing,Computer Skills,Microsoft Office",5,100
Ukraine,"Website Translation,LocalizationTranslation,Translation Japanese English",15,100
United Kingdom,"Italian,Italian GrammarItalian Proofreading,Translation English Italian,Translation Russian Italian,Translation Italian Russian",13,
Sri Lanka,"Translation,Article WritingProofreading,Translation English Vietnamese,Translation Vietnamese English,Content Marketing,SEO Backlinking,Link Building,Transcription,Subtitles",10,
Pakistan,"Adobe After Effects,Adobe PhotoshopAdobe Premiere,Autodesk Maya,Maxon Cinema 4D,Adobe Audition,Adobe Illustrator",22.5,100
Ukraine,"Adobe Photoshop,Adobe Photoshop LightroomRetouching,Capture One Pro,Motion Retouching,Fashion Retouch,Adobe Illustrator,Photo Editing,Image Editing,Photo Manipulation",20,99
Ukraine,"Translation,EnglishIndonesian,Time Management,Proofreading,Subtitles,Translation English Indonesian,Translation Indonesian English,Writing",10,89
India,"Adobe Premiere Pro,Video EditingVideo Post Editing,Video Conversion,Video Publishing,Video Upload,Adobe After Effects,Photo Editing,Adobe Photoshop,Adobe Illustrator",45,100
Ukraine,"Data Entry,Data ProcessingVirtual Assistant,Microsoft Office,PDF Conversion,Lead Generation,Data Scraping,Video Upload,Desktop Support,Web Research",5,100
United States,"Python,ReactAngular,Vue.js,DevOps,AWS Lambda,Django,Flask,Gatsby.js,HTML5",60,
Ukraine,"MySQL,SQLYii,PHP,Statistics,Financial Reporting,AJAX,Reports,Web Apps,JavaScript",40,94
Bangladesh,"Microsoft Word,Translation English SpanishTranslation Spanish English,WordPress",5,96
Pakistan,"Autodesk AutoCAD,Microstration v8SketchUp",25,
Bangladesh,"Logo Design,Corporate Brand IdentityBook Cover Design,Brochure Design,Flyer Design,Poster Design,Illustration,Logo,Brand Identity,Brand Identity & Guidelines",25,96
United States,"Alteryx,TableauPython,SQL,VBA,Excel VBA,Data Mining,Data Science,Data Scraping,Web Scraper",65,100
India,"SolidWorks,Industrial DesignManufacturing,3D Modeling,User Experience Design,Mechanical Engineering,English",100,91
United States,"Creative Writing,Academic WritingArticle Writing,Copywriting,Content Writing,Academic Proofreading,Technical Editing,Technical Writing,Blog Writing,Editing",20,94
United States,"Adobe Premiere,Adobe Premiere ProAdobe After Effects,Adobe Photoshop,Edius,Final Cut Pro",25,100
United States,"Adobe After Effects,Adobe Premiere ProAdobe Illustrator,Whiteboard Animation,2D Animation",50,98
Ukraine,"SolidWorks,MATLABMechanical Engineering,Mechanical Design,Python,3D Printing,MathCad,3D Modeling",10,100
United States,"Logic Pro,Final Cut Pro XAdobe Photoshop,Keynote,Facebook Marketing,Consulting,Instagram Marketing,Business Development",10,
Philippines,"Architectural Design,Interior DesignAutodesk Architecture",28,100
United Kingdom,"Logo Design,Graphic DesignMockup,Wireframes,Brand Identity & Guidelines,Web Design,Development,UI/UX Prototyping,Infographics,Mobile UI Design",15,94
Argentina,"Due Diligence,ISO 9001ISO 27001,GDPR,IT Compliance Audit,Anti-Money Laundering (Aml),Policy Writing,PCI Compliance,Information Security Audit,Internal Controls",50,99
Moldova,"Illustration,DrawingBook Cover Design,Graphic Design,eBook Design,Logo Design,Caricature Drawing,Branding,Icon Design,Adobe Illustrator",15,
Palestinian Territories,"PHP,LaravelMongoDB,React,JavaScript,MySQL,CSS3,Node.js,Angular,Amazon ECS",40,90
Russia,"SEO Strategy,On-Page SEOSEO Keyword Research,Competitive Analysis,Blog Development,SEO Audit,WordPress,Backlinking & Outreach,SEO Backlinking,Technical SEO",75,87
Ukraine,"Graphic Design,Print DesignLayout Design,Logo Design,Adobe Illustrator,CorelDRAW,Branding,Illustration,VectorWorks,Vector Graphics",15,97
Romania,"HTML5,CSS3Sass,Bootstrap,JavaScript,jQuery,REST,AJAX,React,Git",30,100
United Kingdom,"Administrative Support,Project PlanningEditing,Customer Service,Project Management,Social Media Management,Instagram Marketing,Life Coaching,Business Coaching",75,100
United States,"Voice Over American Accent,NarrationMale Voice Over,Voice Talent,eLearning,Voice Acting,Voice Recording",45,100
Pakistan,"Technical Writing,StorytellingCreative Writing,White Paper Writing,SEO Writing,Book Editing,Website Copywriting,Copyediting,Editing & Proofreading,Crowdfunding",31.25,89
United States,"Creative Writing,Digital IllustrationCartooning,Caricature Drawing,Proofreading,Character Design,Logo Design,Translation,Adobe Illustrator,Vector Graphics",20,100
United States,"Startup Consulting,Business PlanFinancial Forecasting,Marketing Strategy,Brand Consulting,Business Coaching,Corporate Strategy,Business Modeling,Business,Management Consulting",130,100
United States,"Borland C++ Builder,JavaScriptMySQL,HTML,PHP,WebGL,Data Entry,PDF Conversion,Google Spreadsheets,Microsoft Excel",8,100
Canada,"2D Animation,Character AnimationMotion Graphics,Video Ads,Character Design,Video Editing,Video Animation,Logo Animation,Motion Design,Storyboarding",45,99
United States,"Adobe Photoshop,Adobe IllustratorIllustration,Concept Artistry,Drawing,Digital Painting",35,100
Guatemala,"Translation English Italian,TranslationGerman,English,Italian,French",25,100
United States,"Photo Editing,Graphic DesignVideo Editing,Photographic,Arts",25,100
United States,"Customer Service,Data EntryOrder Entry,Order Processing,Email Support,Email Handling,Email Communication,Chat Support,Live Chat Operator,Product Management",6,
Ukraine,"Autodesk AutoCAD,SketchUpAdobe Photoshop,Adobe Illustrator",30,
Singapore,"Sketch,IllustrationFashion Illustration,Portrait,Drawing,Digital Art,Adobe Photoshop,Procreate,Line Drawing,Adobe Illustrator",30,100
United States,"Portrait Painting,Acrylic PaintingWatercolor Painting,Oil Painting,Gouache Painting,Realist Painting,Drawing,Illustration,Sketching,Creative & Talent",23,100
Ukraine,"Audio Production,Instrumentationnan",25,
United States,"Video Advertising,Video Post EditingVideo Design,Video Color Correction,Video Editing",8,100
Ukraine,"Logo Design,Banner Ad DesignInstagram Marketing,Cover Design,Social Media Marketing,Business Card Design,Invitation Design,Landing Page,Graphic Design,Design Thinking",30,100
Ukraine,"Illustration,Graphic DesignAdobe Photoshop,Corporate Brand Identity,eBook Design,Adobe Illustrator,Adobe InDesign,Logo Design,Editorial Design,Book",50,100
Philippines,"Architectural Rendering,Digital IllustrationAutodesk AutoCAD,SketchUp,3D Model,2D Drafting,Image Editing,Photo Editing,Adobe Photoshop,Adobe Illustrator",16.5,100
Ukraine,"Label and Package Design,Adobe IllustratorAdobe Photoshop,Illustration,Graphic Design",20,100
Philippines,"Adobe After Effects,Voice Over2D Animation,Video Editing,Voice Talent,Spanish - Castilian (Spain),Adobe Premiere Pro,Content Creation,Branding,Male Voice Over",25,100
United States,"Music,Music EngravingAudio Editing,Audio Restoration,MIDI,Sibelius,Finale,Translation English Spanish,Translation Spanish English,Transcription",22,100
Colombia,"Signage,Graphic DesignVehicle and Motorcylce Wraps,Lettering,Branding,Sticker Design,Sticker",30,
United Kingdom,"2D Animation,3D AnimationAnimation,Autodesk Maya,Autodesk 3D Studio Max,Adobe Photoshop,Adobe Premiere Pro,Anime Studio,Toon Boom Studio,Cartooning",30,99
Thailand,"Drawing,Digital PaintingIllustration,Character Design,Line Drawing,Sketching,Adobe Photoshop,Adobe Illustrator,Acrylic Painting,Concept Art",20,92
United States,"Architectural Design,Architectural RenderingArchitecture Design,Autodesk Architecture,Interior Design,SketchUp,V-Ray,Exterior Rendering",8,
Vietnam,"Blog Writing,Content WritingArticle Writing,Ghostwriting,SEO Writing,Product Descriptions,Proofreading,Editing,Website Content,Academic Writing",40,93
Ukraine,"Landing Page,Email DesignGraphic Design,Web Design,Lead Generation,WordPress,Conversion Rate Optimization,A/B Testing,Unbounce",140,98
Colombia,"Web Design,Graphic DesignWix,Business Card Design,Adobe Photoshop,Social Media Design,Banner Ad Design,Banner Ads,Social Media Posts,Canva",30,97
United States,"Retouching,Adobe PhotoshopAdobe Photoshop Lightroom,Photo Editing,Photo Manipulation,Photograph Color Correction",36,100
Canada,"Microsoft Excel,Microsoft WordFinancial Analysis,Real Estate Acquisition,Real Estate & Construction,Valuation,Financial Presentations",80,99
Pakistan,"Article Writing,CopywritingEmail Handling,Translation English Brazilian Portuguese,Customer Service,Brazilian Portuguese,Project Management,SEO Writing,Company Research,Financial Management",20,95
United Kingdom,"Digital Marketing,Facebook MarketingFacebook Advertising,Facebook Ad Campaign,Marketing Strategy,Copywriting,Content Creation,Instagram Marketing,Social Media Strategy",49.97,88
United States,"Startup Consulting,Lead GenerationMarketing Strategy,Email Marketing,Digital Marketing,Copywriting,Klaviyo,Facebook Marketing,Shopify,Conversion Rate Optimization",100,97
Thailand,"Customer Service,Technical SupportEmail Handling,Chat Support,Data Entry,Virtual Assistant,Administrative Support,Microsoft Office,Intuit QuickBooks,Zendesk",15,100
Slovakia,"Human Resources,Translation English RomanianTranslation Romanian English",10,
Philippines,"Microsoft PowerPoint,PreziStrategic Planning,Speech Writing,Newsletter Writing,Report Writing,eLearning,Presentation,2D Animation,Communications",60,99
United States,"Data Entry,Translation French EnglishWeb Scraper,PDF Conversion,Video Conversion,Design of Experiments,Translation,English Grammar,Legal Transcription,Medical Transcription",18,
Ukraine,"Data Science,PythonDeep Neural Networks,SQLite Programming,PostgreSQL Programming,IBM Watson,Android Studio,Django,Flask,Java",40,88
United States,"Vector Graphics,InfographicsLogo Design,Print Design,Label and Package Design",10,
Singapore,"3D Modeling,Mechanical EngineeringPro-E,Furniture Design,Architectural Design",35,92
United States,"Quantity Surveying,Structural EngineeringEngineering Management,Engineering Drawing,Civil Engineering,Reinforced Concrete Structures",25,
Vietnam,"PHP,JavaScriptNode.js,AngularJS,React Native,WordPress,jQuery,MySQL Programming,React",25,100
Russia,"Mixing,Audio EditingAudio Recording,Audio Post Production",20,
United States,"CATIA,Autodesk AutoCADSolidWorks,Adobe Photoshop,3D Rendering,3D Modeling,Rhinoceros 3D,3D Max,3D Design,2D Drafting",15,92
Pakistan,"Adobe Photoshop,DrawingAdobe Illustrator,Sketching,Watercolor Painting,Vector Graphics,coloured pencil",15,
Philippines,"Adobe Creative Suite,Adobe DreamweaverPHP,Web Design,Illustration,Adobe Illustrator,Adobe InDesign,Trade Show Exhibition Design,Branding,Copywriting",50,
Ukraine,"Call Handling,Chat SupportEmail Handling,Customer Service,Call Support,Virtual Assistant,Administrative Support,Technical Support,Email Technical Support,Live Chat Operator",12,99
Canada,"SEO,Link BuildingSearch Engine Marketing,Off-page Optimization,Facebook Marketing",10,95
Venezuela,"Graphic Design,IllustrationBrochure Design,Flyer Design,Adobe Illustrator,Adobe Photoshop,Print Design,Branding,Cartoon Character,Cartoon",25,100
United Kingdom,"English,Arabic (Fosha-formal)Translation English Arabic,Translation Arabic English,Creative Writing,Copywriting,Subtitles,Transcription,Voice Over Arabic,Music Production",29.99,100
Egypt,"Language Tutor,TranscriptionTranslation English Italian,Translation Italian English,Translation Spanish Italian,Translation Italian Spanish,Translation English Spanish,Translation Spanish English,Translation French Italian,Translation Portuguese Italian",30,100
United Kingdom,"Food Photography,Recipe WritingRecipe Development,Retouching,Adobe Photoshop,Photo Editing,Photo Restoration,Photo Manipulation,Product Photography,Commercial Photography",35,85
Russia,"Shopify,Email CopywritingShopify Apps,Website Redesign,Conversion Rate Optimization,Website Optimization,Drop Shipping,eCommerce,eCommerce Website,Design Enhancement",35,100
Vietnam,"Content Writing,Microsoft WordTravel,Blog Writing,Social Media Content,Microsoft Office,Travel Planning,Editing & Proofreading,Ghostwriting,SEO Writing",30,100
Argentina,"Musical Composition,Music ProducingSound Synthesis,Writing,Technical Writing",31.25,84
Ukraine,"Embedded Linux,Driver DevelopmentC,Lua,Bash Shell Scripting,System Analysis,System Testing,System Programming,Project Management",57,100
Indonesia,"Customer Service,Microsoft PowerPointMicrosoft Excel,Microsoft Word,Telemarketing,Appointment Setting,Inbound Marketing,Email Handling,Chat Support,Presentation",5,
Moldova,"PSD to Wordpress,Frontend DevelopmentWordPress,Wordpress Theme,Web Design,Adobe Photoshop,Corporate Brand Identity,Elementor,Thrive Themes,Divi",25,97
Bangladesh,"Translation English Chinese,Simplified ChineseTranslation Chinese English,Translation English Mandarin,Writing",22,100
United States,"3D Design,Mechanical EngineeringElectrical Engineering,2D Design/Drawings,FEA Simulations",25,98
Armenia,"Adobe Photoshop,Photo EditingRetouching,Logo Design,Logo,Adobe Illustrator,Banner Ad Design",15,94
Venezuela,"Prezi,Google AppsMicrosoft Office,Translation English Spanish,Translation Spanish English,Call Handling,Virtual Assistant",10,
Philippines,"PHP,HTMLWordPress,CSS,jQuery,AJAX,Responsive Web Design,WordPress Plugin,WordPress e-Commerce,Laravel",30,97
India,"Business Development,SalesMarketing,Digital Marketing,Marketing Automation,HubSpot",75,
Poland,"Illustration,Adobe PhotoshopAdobe Illustrator,Graphic Design,Character Design,Arts,T-Shirt Design,Custom,Portrait,Logo Design",30,93
Canada,"Architectural Rendering,Interior DesignInterior Architecture,Layout Design,Logo Design,Brand Identity,Calligraphy",20,
United States,"Musical Composition,Sound DesignMusic Production,Original Soundtrack,Ambient music",40,100
Serbia,"IT Outsourcing,Web ProgrammingMS Excel,Italian,English,Data Entry,Translation,Telecommunications Engineering,Networking",10,
Ukraine,"Adobe Illustrator,Adobe PhotoshopLogo Design,Graphic Design,Logo,Vector Tracing,Vector Graphics,Cards & Flyers,Social Media Posts,Flat Design",10,
Venezuela,"Graphic Design,2D AnimationMotion Graphics,Adobe Photoshop,Adobe After Effects,Adobe Illustrator,Explainer Video,Explainer,Animation,Moho",160,100
Lithuania,"Salesforce App Development,Payment Gateway IntegrationMicrosoft Dynamics ERP,Microsoft Dynamics Development,Microsoft Dynamics CRM,SQL Server Integration Services (SSIS),Microsoft SQL SSRS,Web Services Development,Electronic Data Interchange (EDI),Microsoft SQL Server Administration",85,100
Serbia,"Lead Generation,Internet ResearchWeb Design,PSD to Wordpress,WordPress,WordPress Website,WordPress Plugin,Elementor,Google Sheets",15,91
